N/M,exp1-mean,exp1-std,exp2-mean,exp2-std,exp3-mean,exp3-std,exp4-mean,exp4-std,exp5-mean,exp5-std,exp6-mean,exp6-std,exp7-mean,exp7-std,exp8-mean,exp8-std
0.05,3.5e-05,9.367496997597599e-05,4.5e-05,0.0001023474474522936,0.00020500000000000005,0.00022466641938660972,1.5507967022395193e-05,5.448733982681774e-05,2.9110778400368814e-05,7.320547900706187e-05,0.00010644482254372348,0.00015094476684254565,0.00010331443357696403,0.00016441734346010848,5.433974182724833e-05,0.000141565234443533
0.07,0.00027678571428571433,0.0002440294708699366,0.0002767857142857143,0.0002148430252770708,0.0011125000000000002,0.000504984718903979,0.00021107097115277983,0.00021305360723487547,0.0002820706596730475,0.0002806023278884708,0.000511550226495856,0.00028328635343464976,0.0007033895637082914,0.0003814916709989172,0.00019772498596638737,0.00017418487182942332
0.09,0.0009361111111111112,0.0003625079820321713,0.0008888888888888889,0.00034190371180808807,0.003509722222222222,0.0006148418320145936,0.0007395951995215494,0.00033852536263665037,0.0009127429633279266,0.0003301238444347938,0.0017771362478795952,0.0004911122885433432,0.00238211116879544,0.0005801784666064581,0.0007645260241741219,0.00030590341787608405
0.11,0.002321590909090909,0.0005466972113602655,0.002310227272727273,0.0004997558804883086,0.009110227272727273,0.0009927494117994225,0.0018574991717020528,0.0004513360693883441,0.0023014952923895897,0.0005556930617723613,0.004452456062566425,0.0007211354068222548,0.0060179872418915994,0.0008640905663428532,0.00209396866701744,0.0005185684149654305
0.13,0.004900961538461539,0.0007121170984004804,0.004775961538461539,0.0005772523099043786,0.017888461538461537,0.0014904727021115296,0.00395762427231464,0.0006279919773685785,0.004798847968068459,0.0007577575025937638,0.009498071782964327,0.001057813957857458,0.012363236764262932,0.0010943608499639364,0.004373423690102684,0.000729288723461397
0.15,0.008989166666666668,0.0009192127519422983,0.008654166666666668,0.0007514222625572565,0.03206,0.0016682525787981464,0.007237934191012874,0.0008537016429099772,0.008949401950177018,0.0009427191039543216,0.017221882021510978,0.001188907960041392,0.022260375356177795,0.0012424741992131804,0.008275108166471647,0.0008752442749539142
0.17,0.015218382352941174,0.0011054116938841287,0.014111029411764701,0.0009460521115408311,0.0509235294117647,0.0018269749232658384,0.012282654384684084,0.0009085238583786205,0.014692521207132367,0.0011608078732755615,0.027885770658495717,0.0013680735941115176,0.035995972532370954,0.0016143727578666674,0.013896311058995518,0.001072890025469705
0.19,0.0239296052631579,0.0013126229991172768,0.021646052631578948,0.001109873685757956,0.07633157894736843,0.002217117366826247,0.019553412635980275,0.0012215938617745692,0.022480619587076235,0.001248104754253906,0.04347058350060488,0.0017428338474962644,0.054625669593726875,0.0016435404738964628,0.021571469145268637,0.001218928648993238
0.21,0.03493273809523809,0.0014588714993402615,0.030525000000000004,0.0013699888069125818,0.10632499999999999,0.002366183660111506,0.028882649491514662,0.001276281683611202,0.03271432717955876,0.001217888693635346,0.061905182073626656,0.0019120433703277138,0.07753363819315273,0.0018247230292386277,0.031874633575781124,0.0013709772924771165
0.23,0.04878097826086956,0.001747876361352447,0.0414195652173913,0.0013841587906219266,0.14204402173913044,0.0026518943076953784,0.04058478412796086,0.0014398483177985037,0.044409829913405335,0.0016935796555561692,0.08429014474180056,0.0022498951414181047,0.10487650563191014,0.0023404312358692573,0.04457836422173712,0.0014509707155626148
0.25,0.066385,0.0017556693880113087,0.053777,0.0014405974455065514,0.18230049999999995,0.0026497310712598732,0.05473317840312917,0.0018188327268130432,0.05874553866071785,0.001747892720994539,0.11104359531632245,0.002406178583354721,0.13702546581200406,0.002708062994294787,0.06062826529404938,0.0018758698409539927
